,GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,HOME_TEAM_WINS,HOME_CITY,HOME_NICKNAME,VISITOR_CITY,VISITOR_NICKNAME,HOME_STATE
0,2022-12-22,22200477,1610612740,1610612759,2022,1,New Orleans,Pelicans,San Antonio,Spurs,Louisiana
1,2022-12-22,22200478,1610612762,1610612764,2022,1,Utah,Jazz,Washington,Wizards,Utah
2,2022-12-21,22200468,1610612737,1610612741,2022,0,Atlanta,Hawks,Chicago,Bulls,Georgia
3,2022-12-21,22200473,1610612750,1610612742,2022,0,Minnesota,Timberwolves,Dallas,Mavericks,Minnesota
4,2022-12-21,22200471,1610612752,1610612761,2022,0,New York,Knicks,Toronto,Raptors,New York
5,2022-12-21,22200469,1610612738,1610612754,2022,0,Boston,Celtics,Indiana,Pacers,Massachusetts
6,2022-12-21,22200470,1610612751,1610612744,2022,1,Brooklyn,Nets,Golden State,Warriors,New York
7,2022-12-21,22200472,1610612745,1610612753,2022,0,Houston,Rockets,Orlando,Magic,Texas
8,2022-12-21,22200466,1610612739,1610612749,2022,1,Cleveland,Cavaliers,Milwaukee,Bucks,Ohio
9,2022-12-21,22200475,1610612758,1610612747,2022,1,Sacramento,Kings,Los Angeles,Lakers,California
10,2022-12-21,22200476,1610612746,1610612766,2022,1,Los Angeles,Clippers,Charlotte,Hornets,California
11,2022-12-21,22200467,1610612755,1610612765,2022,1,Philadelphia,76ers,Detroit,Pistons,Pennsylvania
12,2022-12-21,22200474,1610612760,1610612757,2022,1,Oklahoma City,Thunder,Portland,Trail Blazers,Oklahoma
13,2022-12-20,22200463,1610612752,1610612744,2022,1,New York,Knicks,Golden State,Warriors,New York
14,2022-12-20,22200462,1610612748,1610612741,2022,0,Miami,Heat,Chicago,Bulls,Florida
15,2022-12-20,22200461,1610612765,1610612762,2022,0,Detroit,Pistons,Utah,Jazz,Michigan
16,2022-12-20,22200464,1610612756,1610612764,2022,0,Phoenix,Suns,Washington,Wizards,Arizona
17,2022-12-20,22200465,1610612743,1610612763,2022,1,Denver,Nuggets,Memphis,Grizzlies,Colorado
18,2022-12-19,22200453,1610612755,1610612761,2022,1,Philadelphia,76ers,Toronto,Raptors,Pennsylvania
19,2022-12-19,22200452,1610612739,1610612762,2022,1,Cleveland,Cavaliers,Utah,Jazz,Ohio
20,2022-12-19,22200456,1610612750,1610612742,2022,1,Minnesota,Timberwolves,Dallas,Mavericks,Minnesota
21,2022-12-19,22200457,1610612740,1610612749,2022,0,New Orleans,Pelicans,Milwaukee,Bucks,Louisiana
22,2022-12-19,22200454,1610612737,1610612753,2022,1,Atlanta,Hawks,Orlando,Magic,Georgia
23,2022-12-19,22200455,1610612745,1610612759,2022,0,Houston,Rockets,San Antonio,Spurs,Texas
24,2022-12-19,22200458,1610612760,1610612757,2022,1,Oklahoma City,Thunder,Portland,Trail Blazers,Oklahoma
25,2022-12-19,22200459,1610612756,1610612747,2022,1,Phoenix,Suns,Los Angeles,Lakers,Arizona
26,2022-12-19,22200460,1610612758,1610612766,2022,0,Sacramento,Kings,Charlotte,Hornets,California
27,2022-12-18,22200446,1610612754,1610612752,2022,0,Indiana,Pacers,New York,Knicks,Indiana
28,2022-12-18,22200445,1610612738,1610612753,2022,0,Boston,Celtics,Orlando,Magic,Massachusetts
29,2022-12-18,22200451,1610612747,1610612764,2022,1,Los Angeles,Lakers,Washington,Wizards,California
30,2022-12-18,22200448,1610612761,1610612744,2022,0,Toronto,Raptors,Golden State,Warriors,Ontario
31,2022-12-18,22200450,1610612743,1610612766,2022,1,Denver,Nuggets,Charlotte,Hornets,Colorado
32,2022-12-18,22200447,1610612765,1610612751,2022,0,Detroit,Pistons,Brooklyn,Nets,Michigan
33,2022-12-18,22200449,1610612750,1610612741,2022,1,Minnesota,Timberwolves,Chicago,Bulls,Minnesota
34,2022-12-17,22200442,1610612749,1610612762,2022,1,Milwaukee,Bucks,Utah,Jazz,Wisconsin
35,2022-12-17,22200438,1610612746,1610612764,2022,1,Los Angeles,Clippers,Washington,Wizards,California
36,2022-12-17,22200444,1610612756,1610612740,2022,1,Phoenix,Suns,New Orleans,Pelicans,Arizona
37,2022-12-17,22200440,1610612739,1610612742,2022,1,Cleveland,Cavaliers,Dallas,Mavericks,Ohio
38,2022-12-17,22200441,1610612745,1610612757,2022,0,Houston,Rockets,Portland,Trail Blazers,Texas
39,2022-12-17,22200439,1610612759,1610612748,2022,0,San Antonio,Spurs,Miami,Heat,Texas
40,2022-12-17,22200443,1610612760,1610612763,2022,1,Oklahoma City,Thunder,Memphis,Grizzlies,Oklahoma
41,2022-12-16,22200430,1610612738,1610612753,2022,0,Boston,Celtics,Orlando,Magic,Massachusetts
42,2022-12-16,22200435,1610612760,1610612750,2022,0,Oklahoma City,Thunder,Minnesota,Timberwolves,Oklahoma
43,2022-12-16,22200429,1610612765,1610612758,2022,0,Detroit,Pistons,Sacramento,Kings,Michigan
44,2022-12-16,22200428,1610612766,1610612737,2022,0,Charlotte,Hornets,Atlanta,Hawks,North Carolina
45,2022-12-16,22200432,1610612755,1610612744,2022,1,Philadelphia,76ers,Golden State,Warriors,Pennsylvania
46,2022-12-16,22200437,1610612747,1610612743,2022,1,Los Angeles,Lakers,Denver,Nuggets,California
47,2022-12-16,22200434,1610612741,1610612752,2022,0,Chicago,Bulls,New York,Knicks,Illinois
48,2022-12-16,22200431,1610612739,1610612754,2022,1,Cleveland,Cavaliers,Indiana,Pacers,Ohio
49,2022-12-16,22200436,1610612742,1610612757,2022,1,Dallas,Mavericks,Portland,Trail Blazers,Texas
50,2022-12-16,22200433,1610612761,1610612751,2022,0,Toronto,Raptors,Brooklyn,Nets,Ontario
51,2022-12-15,22200424,1610612745,1610612748,2022,0,Houston,Rockets,Miami,Heat,Texas
52,2022-12-15,22200425,1610612763,1610612749,2022,1,Memphis,Grizzlies,Milwaukee,Bucks,Tennessee
53,2022-12-15,22200426,1610612762,1610612740,2022,1,Utah,Jazz,New Orleans,Pelicans,Utah
54,2022-12-15,22200427,1610612746,1610612756,2022,0,Los Angeles,Clippers,Phoenix,Suns,California
55,2022-12-14,22200419,1610612760,1610612748,2022,0,Oklahoma City,Thunder,Miami,Heat,Oklahoma
56,2022-12-14,22200421,1610612742,1610612739,2022,0,Dallas,Mavericks,Cleveland,Cavaliers,Texas
57,2022-12-14,22200417,1610612761,1610612758,2022,0,Toronto,Raptors,Sacramento,Kings,Ontario
58,2022-12-14,22200415,1610612754,1610612744,2022,1,Indiana,Pacers,Golden State,Warriors,Indiana
59,2022-12-14,22200420,1610612759,1610612757,2022,0,San Antonio,Spurs,Portland,Trail Blazers,Texas
60,2022-12-14,22200422,1610612743,1610612764,2022,1,Denver,Nuggets,Washington,Wizards,Colorado
61,2022-12-14,22200416,1610612753,1610612737,2022,1,Orlando,Magic,Atlanta,Hawks,Florida
62,2022-12-14,22200418,1610612741,1610612752,2022,0,Chicago,Bulls,New York,Knicks,Illinois
63,2022-12-14,22200423,1610612746,1610612750,2022,1,Los Angeles,Clippers,Minnesota,Timberwolves,California
64,2022-12-14,22200414,1610612766,1610612765,2022,0,Charlotte,Hornets,Detroit,Pistons,North Carolina
65,2022-12-13,22200411,1610612745,1610612756,2022,1,Houston,Rockets,Phoenix,Suns,Texas
66,2022-12-13,22200410,1610612749,1610612744,2022,1,Milwaukee,Bucks,Golden State,Warriors,Wisconsin
